Visitor,TS_Design_Selected,TS_Design_Name,TS_Reward,TS_Regret,TS_Cumul_Reward,Random_Design_Selected,Random_Reward,Random_Regret,Random_Cumul_Reward
314,4,Free shipping + money-back,0,0.0,148,2,1,0.25000000000000006,104
315,4,Free shipping + money-back,0,0.0,148,0,1,0.35000000000000003,105
316,4,Free shipping + money-back,1,0.0,149,0,0,0.35000000000000003,105
317,4,Free shipping + money-back,0,0.0,149,2,0,0.25000000000000006,105
318,4,Free shipping + money-back,1,0.0,150,2,0,0.25000000000000006,105
319,4,Free shipping + money-back,1,0.0,151,4,1,0.0,106
320,4,Free shipping + money-back,1,0.0,152,1,0,0.20000000000000007,106
321,4,Free shipping + money-back,0,0.0,152,1,0,0.20000000000000007,106
322,4,Free shipping + money-back,0,0.0,152,4,0,0.0,106
323,4,Free shipping + money-back,0,0.0,152,3,1,0.10000000000000003,107
324,3,Doctor endorsement + quote,1,0.10000000000000003,153,0,0,0.35000000000000003,107
325,4,Free shipping + money-back,0,0.0,153,2,1,0.25000000000000006,108
326,4,Free shipping + money-back,0,0.0,153,2,1,0.25000000000000006,109
327,4,Free shipping + money-back,1,0.0,154,3,1,0.10000000000000003,110
328,4,Free shipping + money-back,0,0.0,154,2,0,0.25000000000000006,110
329,4,Free shipping + money-back,1,0.0,155,3,0,0.10000000000000003,110
330,4,Free shipping + money-back,0,0.0,155,4,0,0.0,110
331,4,Free shipping + money-back,1,0.0,156,3,1,0.10000000000000003,111
332,4,Free shipping + money-back,1,0.0,157,1,1,0.20000000000000007,112
333,4,Free shipping + money-back,1,0.0,158,3,0,0.10000000000000003,112
334,4,Free shipping + money-back,0,0.0,158,4,0,0.0,112
335,4,Free shipping + money-back,1,0.0,159,3,1,0.10000000000000003,113
336,4,Free shipping + money-back,1,0.0,160,4,1,0.0,114
337,4,Free shipping + money-back,0,0.0,160,1,0,0.20000000000000007,114
338,4,Free shipping + money-back,0,0.0,160,0,0,0.35000000000000003,114
339,4,Free shipping + money-back,1,0.0,161,4,1,0.0,115
340,4,Free shipping + money-back,1,0.0,162,0,0,0.35000000000000003,115
341,4,Free shipping + money-back,1,0.0,163,4,1,0.0,116
342,3,Doctor endorsement + quote,1,0.10000000000000003,164,3,1,0.10000000000000003,117
343,2,"Social proof — 4,200 reviews",0,0.25000000000000006,164,0,0,0.35000000000000003,117
344,4,Free shipping + money-back,0,0.0,164,4,0,0.0,117
345,4,Free shipping + money-back,0,0.0,164,4,0,0.0,117
346,4,Free shipping + money-back,1,0.0,165,0,0,0.35000000000000003,117
